Step: 864,    val PPL: 1001.6919,     best val PPL: 1001.6919,    best val loss: 62.169975
Step: 876,    val PPL: 1002.8394,     best val PPL: 1001.6919,    best val loss: 62.144474
Step: 888,    val PPL: 1006.1333,     best val PPL: 1001.6919,    best val loss: 62.144474
Step: 900,    val PPL: 998.02985,     best val PPL: 998.02985,    best val loss: 62.108017
Step: 912,    val PPL: 988.10565,     best val PPL: 988.10565,    best val loss: 62.028423
Step: 924,    val PPL: 987.8837,     best val PPL: 987.8837,    best val loss: 62.02117
Step: 936,    val PPL: 995.69354,     best val PPL: 987.8837,    best val loss: 62.02117
Step: 948,    val PPL: 986.42175,     best val PPL: 986.42175,    best val loss: 61.982365
Step: 960,    val PPL: 980.74207,     best val PPL: 980.74207,    best val loss: 61.962036
Step: 972,    val PPL: 980.09784,     best val PPL: 980.09784,    best val loss: 61.930386
Step: 984,    val PPL: 961.8402,     best val PPL: 961.8402,    best val loss: 61.75781
Step: 996,    val PPL: 966.4675,     best val PPL: 961.8402,    best val loss: 61.75781
Step: 1008,    val PPL: 964.6392,     best val PPL: 961.8402,    best val loss: 61.75781
Step: 1020,    val PPL: 957.5062,     best val PPL: 957.5062,    best val loss: 61.699352
Step: 1032,    val PPL: 948.837,     best val PPL: 948.837,    best val loss: 61.66258
Step: 1044,    val PPL: 948.58997,     best val PPL: 948.58997,    best val loss: 61.635452
Step: 1056,    val PPL: 947.9443,     best val PPL: 947.9443,    best val loss: 61.630146
Step: 1068,    val PPL: 944.92285,     best val PPL: 944.92285,    best val loss: 61.590546
Step: 1080,    val PPL: 942.4471,     best val PPL: 942.4471,    best val loss: 61.542824
Step: 1092,    val PPL: 936.6387,     best val PPL: 936.6387,    best val loss: 61.521812
Step: 1104,    val PPL: 938.7106,     best val PPL: 936.6387,    best val loss: 61.5196
Step: 1116,    val PPL: 934.8449,     best val PPL: 934.8449,    best val loss: 61.49833
Step: 1128,    val PPL: 932.075,     best val PPL: 932.075,    best val loss: 61.43527
Step: 1140,    val PPL: 936.43945,     best val PPL: 932.075,    best val loss: 61.43527
Step: 1152,    val PPL: 935.07007,     best val PPL: 932.075,    best val loss: 61.43527
Step: 1164,    val PPL: 927.88043,     best val PPL: 927.88043,    best val loss: 61.37552
Step: 1176,    val PPL: 917.9751,     best val PPL: 917.9751,    best val loss: 61.309883
Step: 1188,    val PPL: 917.9659,     best val PPL: 917.9659,    best val loss: 61.281216
Step: 1200,    val PPL: 913.5726,     best val PPL: 913.5726,    best val loss: 61.233887
Step: 1212,    val PPL: 914.9881,     best val PPL: 913.5726,    best val loss: 61.233887
Step: 1224,    val PPL: 904.9748,     best val PPL: 904.9748,    best val loss: 61.178974
Step: 1236,    val PPL: 919.04724,     best val PPL: 904.9748,    best val loss: 61.178974
Step: 1248,    val PPL: 904.6763,     best val PPL: 904.6763,    best val loss: 61.175858
Step: 1260,    val PPL: 901.7489,     best val PPL: 901.7489,    best val loss: 61.10707
Step: 1272,    val PPL: 902.99414,     best val PPL: 901.7489,    best val loss: 61.10707
Step: 1284,    val PPL: 891.3014,     best val PPL: 891.3014,    best val loss: 61.06694
Step: 1296,    val PPL: 890.3834,     best val PPL: 890.3834,    best val loss: 61.020844
Step: 1308,    val PPL: 893.2492,     best val PPL: 890.3834,    best val loss: 61.009167
Step: 1320,    val PPL: 889.5122,     best val PPL: 889.5122,    best val loss: 61.009167
Step: 1332,    val PPL: 891.1255,     best val PPL: 889.5122,    best val loss: 60.999146
Step: 1344,    val PPL: 886.5333,     best val PPL: 886.5333,    best val loss: 60.999146
Step: 1356,    val PPL: 892.1361,     best val PPL: 886.5333,    best val loss: 60.999146
Step: 1368,    val PPL: 897.37024,     best val PPL: 886.5333,    best val loss: 60.999146
Step: 1380,    val PPL: 889.0632,     best val PPL: 886.5333,    best val loss: 60.96858
Step: 1392,    val PPL: 880.09705,     best val PPL: 880.09705,    best val loss: 60.8907
Step: 1404,    val PPL: 868.7149,     best val PPL: 868.7149,    best val loss: 60.799942
Step: 1416,    val PPL: 875.63727,     best val PPL: 868.7149,    best val loss: 60.799942
Step: 1428,    val PPL: 870.7163,     best val PPL: 868.7149,    best val loss: 60.799942
Step: 1440,    val PPL: 869.3012,     best val PPL: 868.7149,    best val loss: 60.799942
Step: 1452,    val PPL: 869.34766,     best val PPL: 868.7149,    best val loss: 60.799942
Step: 1464,    val PPL: 867.73,     best val PPL: 867.73,    best val loss: 60.78779
Step: 1476,    val PPL: 877.10156,     best val PPL: 867.73,    best val loss: 60.78779
